1,2004.02.12.10.32.39,0.161,0.0742
101,2004.02.13.03.12.39,0.175,0.0779
201,2004.02.13.19.52.39,0.184,0.0786
301,2004.02.14.12.32.39,0.152,0.0792
401,2004.02.15.05.12.39,0.140,0.0776
501,2004.02.15.21.52.39,0.158,0.0761
601,2004.02.16.14.32.39,0.162,0.0911
701,2004.02.17.07.12.39,0.177,0.1128
801,2004.02.17.23.52.39,0.191,0.1058
901,2004.02.18.16.32.39,0.210,0.1207
970,2004.02.19.04.02.39,0.296,0.3257
971,2004.02.19.04.12.39,0.415,0.3531
972,2004.02.19.04.22.39,0.416,0.4297
973,2004.02.19.04.32.39,0.419,0.4156
974,2004.02.19.04.42.39,0.526,0.3717
975,2004.02.19.04.52.39,0.341,0.4477
976,2004.02.19.05.02.39,0.433,0.6721
977,2004.02.19.05.12.39,0.457,0.5310
978,2004.02.19.05.22.39,0.416,0.4459
979,2004.02.19.05.32.39,0.347,0.3870
980,2004.02.19.05.42.39,0.394,0.7250
981,2004.02.19.05.52.39,0.471,0.4620
982,2004.02.19.06.02.39,0.472,0.4838
983,2004.02.19.06.12.39,0.178,0.0021
984,2004.02.19.06.22.39,0.107,0.0015
